"","Year","Plot","Num.Trees","BA","QMD"
"1","1992","10",36,1.11037943004988,19.8220982830577
"2","1992","11",39,0.663784755582497,14.7247016939117
"3","1992","12",17,0.779565011237895,24.1694562648666
"4","1992","13",27,0.633649028052937,17.2905049310434
"5","1992","14",14,0.517208252542122,21.6937123210724
"6","1992","16",54,0.992781763044381,15.3036557240273
"7","1992","17",58,1.60449226419914,18.7724081734732
"8","1992","18",26,1.27667413938051,25.0102785277087
"9","1992","19",54,0.67377894721173,12.6074429090446
"10","1992","20",53,1.26243879766893,17.4193683681175
"11","1992","24",7,0.407315341519551,27.225855529565
"12","1992","3",48,1.43475044232935,19.5133905404634
"13","1992","5",11,0.139350054538956,12.7034710018116
"14","1992","6",54,1.48702340249243,18.7295435471454
"15","1992","7",17,0.222389416956804,12.9091536225757
"16","1992","8",25,0.579733800330193,17.1873720542157
"17","1992","9",45,1.15417872942807,18.0757134487602
"18","1994","10",38,1.19173254261092,19.9876977132503
"19","1994","11",43,0.741206164937564,14.8183707094826
"20","1994","12",17,0.806468825325075,24.5829785931619
"21","1994","13",28,0.735366729592704,18.2910292604614
"22","1994","14",16,0.616565047202716,22.1561670470937
"23","1994","15",22,0.757193729951683,20.9390674440522
"24","1994","17",1,0.259672267773281,57.5145805687878
"25","1994","20",54,1.39573264696993,18.1455196589101
"26","1994","24",8,0.457494430179014,26.9906338490165
"27","1994","3",49,1.49505252791685,19.7149353581878
"28","1994","4",28,0.929244622421854,20.5613290927187
"29","1994","5",11,0.151087044692767,13.2276422985775
"30","1994","6",54,1.56698793110058,19.2265391887576
"31","1994","7",18,0.243796229298365,13.1353730430906
"32","1994","8",27,0.637647490102794,17.344972548469
"33","1994","9",46,1.26605477081322,18.7245980118212
"34","1997","10",39,1.28195986902018,20.4630366999834
"35","1997","11",44,0.7739022904798,14.9686246895125
"36","1997","12",19,0.894935289052,24.4953803830154
"37","1997","13",36,0.935349522345943,18.1928561524685
"38","1997","14",20,0.77361797634465,22.1979797144748
"39","1997","15",23,0.864950357969812,21.8875345680005
"40","1997","17",1,0.271546702605687,58.81491021643
"41","1997","20",55,1.51312846664744,18.7206846553704
"42","1997","24",11,0.537050551742195,24.9388493983481
"43","1997","3",49,1.50586667522867,19.7861088001235
"44","1997","4",27,0.936420020042653,21.0193186737843
"45","1997","5",12,0.196094286446258,14.4280293983922
"46","1997","6",55,1.68042612943273,19.7284760899602
"47","1997","7",19,0.289592010807907,13.9341877964247
"48","1997","8",31,0.680580495306752,16.7233806071095
"49","1997","9",46,1.40192315529383,19.703726031438
"50","2009","10",51,1.53102376380045,19.5555956772763
"51","2009","11",54,1.23810794796504,17.0902158332465
"52","2009","12",26,1.2451427593146,24.6994948573851
"53","2009","13",48,1.50594442964684,19.9916677816494
"54","2009","14",25,1.40786626319626,26.784026641962
"55","2009","15",34,1.38836247060461,22.8074717648507
"56","2009","16",64,1.65812317778673,18.1670152044424
"57","2009","17",68,2.16843249286157,20.155040187809
"58","2009","18",27,1.86640370213626,29.6746826494407
"59","2009","19",61,1.50077493893536,17.7034552931677
"60","2009","20",55,1.97316365988504,21.3779167286258
"61","2009","24",22,0.95626546083538,23.531145333692
"62","2009","3",54,1.5277997043397,18.9846022479976
"63","2009","4",25,0.869796264637975,21.052512622336
"64","2009","5",26,0.506717689273622,15.756564457551
"65","2009","6",55,2.04837495880831,21.781538688386
"66","2009","7",38,0.670253294856239,14.9896969292775
"67","2009","8",40,0.809820119288292,16.0594052376988
"68","2009","9",50,1.92122606473773,22.1242931571583
"69","2019","10",55,1.62351853470744,19.3915467868878
"70","2019","11",57,1.5323165291774,18.5055495638847
"71","2019","12",31,1.59749515196143,25.6214732980759
"72","2019","13",49,2.02900154231178,22.9672141679758
"73","2019","14",29,1.73512911151336,27.607817209224
"74","2019","15",41,1.74217177684455,23.2658396307137
"75","2019","16",65,2.02529053598973,19.9228818734639
"76","2019","17",74,2.3947630378023,20.3039523224145
"77","2019","18",29,1.60097996361242,26.5191207647931
"78","2019","19",61,1.91627570011384,20.0045713691478
"79","2019","20",54,2.31108985906659,23.349452823847
"80","2019","24",25,1.40851735827372,26.7902193225375
"81","2019","3",51,1.40452203781651,18.7302840036564
"82","2019","4",37,1.29185274428633,21.0897200890981
"83","2019","5",62,1.02288136225842,14.4971275380332
"84","2019","6",51,2.19862791065155,23.4345140395667
"85","2019","7",48,1.09511835833691,17.0480646112579
"86","2019","8",54,1.22066661095048,16.969413188051
"87","2019","9",46,2.07575079719169,23.9758416973999
