"","Year","Plot","Species","Num.Trees","BA","QMD"
"1","1992","10","Bl",30,0.551787762880184,15.3070174279432
"2","1992","10","Sx",6,0.558591667169697,34.4379088993861
"3","1992","11","Bl",33,0.389790752299663,12.2665933262484
"4","1992","11","Sx",6,0.273994003282834,24.1190431974789
"5","1992","12","Bl",12,0.274297166973905,17.0641715943552
"6","1992","12","Fd",1,0.265119789434606,58.1147327138534
"7","1992","12","Sx",4,0.240148054829384,27.6550668483476
"8","1992","13","Bl",13,0.369719902234042,19.0339932181494
"9","1992","13","Sx",14,0.263929125818895,15.4968993881046
"10","1992","14","Bl",6,0.299609764382042,25.2213034839813
"11","1992","14","Sx",8,0.21759848816008,18.6143602602458
"12","1992","16","Bl",52,0.768016516643299,13.7166728231524
"13","1992","16","Sx",2,0.224765246401082,37.8368309092516
"14","1992","17","Bl",49,0.715790680370023,13.6414379337959
"15","1992","17","Ep",1,0.0134782178820636,13.1033218339325
"16","1992","17","Fd",2,0.523120729916178,57.7232983416629
"17","1992","17","Sx",6,0.352102636030873,27.3416163216517
"18","1992","18","Bl",22,0.519262068739406,17.3399216515897
"19","1992","18","Fd",1,0.578181853559319,85.8217567443825
"20","1992","18","Sx",3,0.179230217081788,27.5873611082375
"21","1992","19","Bl",54,0.67377894721173,12.6074429090446
"22","1992","20","Bl",49,0.774385310350289,14.1888005731817
"23","1992","20","Sx",4,0.488053487318645,39.4247443766939
"24","1992","24","Bl",5,0.338981774313156,29.3878858144812
"25","1992","24","Sx",2,0.068333567206395,20.8625418153241
"26","1992","3","Bl",44,1.00833735906863,17.0860535225792
"27","1992","3","Sx",4,0.426413083260723,36.8510983537114
"28","1992","5","Bl",10,0.115297235784909,12.1192186051168
"29","1992","5","Sx",1,0.0240528187540468,17.5044375644137
"30","1992","6","Bl",51,1.14633495797022,16.9213828614671
"31","1992","6","Sx",3,0.340688444522218,38.0349847070493
"32","1992","7","Bl",13,0.173646036140032,13.0444548071248
"33","1992","7","Sx",4,0.0487433808167724,12.4592815550778
"34","1992","8","Bl",20,0.280633759356196,13.3696528535459
"35","1992","8","Sx",5,0.299100040973997,27.6050415857839
"36","1992","9","Bl",30,0.532630330878594,15.0389491614443
"37","1992","9","Sx",15,0.621548398549473,22.9750792443476
"38","1994","10","Bl",32,0.615618642415822,15.654747382548
"39","1994","10","Sx",6,0.576113900195094,34.9738725711392
"40","1994","11","Bl",37,0.448287207509505,12.4234576113913
"41","1994","11","Sx",6,0.292918957428059,24.9380956469603
"42","1994","12","Bl",12,0.290997088122225,17.5759525001311
"43","1994","12","Fd",1,0.268782886468692,58.5148341438972
"44","1994","12","Sx",4,0.246688850734158,28.0291505863603
"45","1994","13","Bl",13,0.412261779152628,20.0992583284283
"46","1994","13","Sx",15,0.323104950440076,16.5649964881974
"47","1994","14","Bl",7,0.349897237988053,25.2340180139508
"48","1994","14","Sx",9,0.266667809214662,19.4280500411155
"49","1994","15","Bl",14,0.355864693233547,17.9946583225966
"50","1994","15","Sx",8,0.401329036718135,25.279615813256
"51","1994","17","Fd",1,0.259672267773281,57.5145805687878
"52","1994","20","Bl",50,0.879825013786397,14.9719484096509
"53","1994","20","Sx",4,0.515907633183535,40.5341576953926
"54","1994","24","Bl",6,0.371115554770399,28.0701106902379
"55","1994","24","Sx",2,0.0863788754086147,23.4559996546746
"56","1994","3","Bl",45,1.0673482500755,17.3824899089683
"57","1994","3","Sx",4,0.427704277841348,36.9068494256363
"58","1994","4","Bl",26,0.685394200650215,18.3251994574259
"59","1994","4","Sx",2,0.24385042177164,39.4104985989693
"60","1994","5","Bl",10,0.12703422593872,12.7211257132528
"61","1994","5","Sx",1,0.0240528187540468,17.5044375644137
"62","1994","6","Bl",51,1.21104234185621,17.3924093083792
"63","1994","6","Sx",3,0.355945589244377,38.8773229380526
"64","1994","7","Bl",14,0.18955034894883,13.1329849907364
"65","1994","7","Sx",4,0.054245880349535,13.1437278095296
"66","1994","8","Bl",22,0.317831001772862,13.5660045875961
"67","1994","8","Sx",5,0.319816488329931,28.5450359703328
"68","1994","9","Bl",31,0.58953949640021,15.5647008395689
"69","1994","9","Sx",15,0.676515274413006,23.9694652609163
"70","1997","10","Bl",32,0.66394262061334,16.2575634114882
"71","1997","10","Sx",7,0.618017248406838,33.5364006712877
"72","1997","11","Bl",38,0.447151521765233,12.2433631102662
"73","1997","11","Sx",6,0.326750768714567,26.3389134637576
"74","1997","12","Bl",14,0.344388455269984,17.7021267484858
"75","1997","12","Fd",1,0.278985994009388,59.6151130765174
"76","1997","12","Sx",4,0.271560839772629,29.408220598437
"77","1997","13","Bl",16,0.487993797058227,19.7111667132929
"78","1997","13","Sx",20,0.447355725287716,16.8801644663954
"79","1997","14","Bl",9,0.422532430935376,24.455353283598
"80","1997","14","Sx",11,0.351085545409274,20.1639356954991
"81","1997","15","Bl",14,0.407348328242413,19.2523666045192
"82","1997","15","Sx",9,0.457602029727399,25.4500059363829
"83","1997","17","Fd",1,0.271546702605687,58.81491021643
"84","1997","20","Bl",51,0.968243568225355,15.5515039125366
"85","1997","20","Sx",4,0.544884898422084,41.6569588937329
"86","1997","24","Bl",7,0.40812665782234,27.2529571259005
"87","1997","24","Sx",4,0.128923893919855,20.2629131525131
"88","1997","3","Bl",46,1.12778778034159,17.6725796672928
"89","1997","3","Sx",3,0.378078894887081,40.0678243923662
"90","1997","4","Bl",25,0.679339566208584,18.6053833208007
"91","1997","4","Sx",2,0.25708045383407,40.4654805971982
"92","1997","5","Bl",11,0.168629698070413,13.9744865575066
