"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"48","10","377","Bl","3","1997","Live",21.2,NA,"Dbh at 1.1m",NA,NA,NA,1,NA,NA,NA,NA,2,6
"49","10","377","Bl","3","2009","Live",23.5,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,2,6
"50","10","377","Bl","3","2019","Live",25.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,6
"51","10","381","Sx","4","1992","Live",13,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"52","10","381","Sx","4","1994","Live",13.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"53","10","381","Sx","4","1997","Live",14.3,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"54","10","381","Sx","4","2009","Live",17.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,8
"55","10","381","Sx","4","2019","Live",20.1,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8
"56","10","387","Bl","3","1992","Live",20.7,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"57","10","387","Bl","3","1994","Live",25.3,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"58","10","387","Bl","3","1997","Live",26.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"59","10","387","Bl","3","2009","Live",29.2,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,6
"60","10","387","Bl","3","2019","Live",30.4,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6
"61","10","394","Sx","1","1992","Live",39.8,28.6,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6
"62","10","394","Sx","1","1994","Live",39.9,28.5,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6
"63","10","394","Sx","1","1997","Live",40.9,28.5,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6
"64","10","394","Sx","1","2009","Live",43.6,NA,"Live",NA,NA,NA,2,NA,NA,NA,NA,2,6
"65","10","394","Sx","1","2019","Live",44.8,30.3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,6
"66","10","395","Bl","1","1992","Live",21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"67","10","395","Bl","1","1994","Live",21.9,NA,"Marked with ""S""; Looks like 956, which is marked to cut; bent top- not sample; not recorded; DBH=21.5; ht=19.7) )",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"68","10","395","Bl","1","1997","Live",22.4,NA,"top not bent, looks good",NA,NA,NA,NA,NA,NA,NA,NA,2,7
